day_index,moving_samples,is_operational
1482,8640,True
1483,8639,True
1484,8640,True
1485,8640,True
1486,8640,True
1487,8640,True
1488,8640,True
1489,8640,True
1490,8640,True
1491,8640,True
1492,8640,True
1493,8640,True
1494,8004,True
1495,8640,True
1496,8639,True
1497,8640,True
1498,8640,True
1499,8640,True
1500,8640,True
1501,8640,True
1502,8640,True
1503,8640,True
1504,8640,True
1505,8638,True
1506,8640,True
1507,8640,True
1508,8640,True
1509,8640,True
1510,8640,True
1511,8640,True
1512,8640,True
1513,8640,True
1514,8640,True
1515,8640,True
1516,8640,True
1517,8640,True
1518,8640,True
1519,8640,True
1520,8640,True
1521,8640,True
1522,8640,True
1523,8640,True
1524,8640,True
1525,8640,True
1526,8640,True
1527,8640,True
1528,8640,True
1529,8640,True
1530,8640,True
1531,8640,True
1532,8640,True
1533,8640,True
1534,8640,True
1535,8640,True
1536,8640,True
1537,8640,True
1538,8640,True
1539,8640,True
1540,8640,True
1541,8640,True
1542,8640,True
1543,8640,True
1544,8640,True
1545,8640,True
1546,8640,True
1547,8640,True
1548,8640,True
1549,8638,True
1550,8640,True
1551,8640,True
1552,8640,True
1553,8640,True
1554,8640,True
1555,8640,True
1556,8640,True
1557,8640,True
1558,8640,True
1559,8640,True
1560,8294,True
1561,8640,True
1562,8640,True
1563,8640,True
1564,8640,True
1565,8640,True
1566,8640,True
1567,8640,True
1568,8640,True
1569,8640,True
1570,8640,True
1571,8640,True
1572,8640,True
1573,8640,True
1574,8640,True
1575,8640,True
1576,8640,True
1577,8640,True
1578,8640,True
1579,8640,True
1580,8640,True
1581,8640,True
1582,8639,True
1583,8640,True
1584,8640,True
1585,8640,True
1586,8640,True
1587,8640,True
1588,8640,True
1589,8640,True
1590,8640,True
1591,8640,True
1592,8640,True
1593,8638,True
1594,8639,True
1595,8640,True
1596,8640,True
1597,8640,True
1598,8640,True
1599,8640,True
1600,8640,True
1601,8640,True
1602,8640,True
1603,8640,True
1604,8638,True
1605,8640,True
1606,8640,True
1607,8640,True
1608,8640,True
1609,8640,True
1610,8640,True
1611,8640,True
1612,8640,True
1613,8640,True
1614,8640,True
1615,8640,True
1616,8640,True
1617,8640,True
1618,8640,True
1619,8640,True
1620,8640,True
1621,8640,True
1622,8640,True
1623,8640,True
1624,8640,True
1625,8640,True
1626,8016,True
1627,8640,True
1628,8640,True
1629,8640,True
1630,8640,True
1631,8640,True
1632,8640,True
1633,8640,True
1634,8640,True
1635,8640,True
1636,8608,True
1637,8018,True
1638,8640,True
1639,8640,True
1640,8640,True
1641,8640,True
1642,8640,True
1643,8640,True
1644,8640,True
1645,8640,True
1646,8640,True
1647,8635,True
1648,8573,True
1649,8640,True
1650,8640,True
1651,8640,True
1652,8639,True
1653,8640,True
1654,8640,True
1655,8640,True
1656,8640,True
1657,4937,True
1658,6252,True
1659,8637,True
1660,8640,True
1661,8640,True
1662,8640,True
1663,8640,True
1664,8640,True
1665,8640,True
1666,8640,True
1667,8640,True
1668,8640,True
1669,5399,True
1670,8640,True
1671,8640,True
1672,8640,True
1673,8640,True
1674,8640,True
1675,8640,True
1676,8640,True
1677,8640,True
1678,8640,True
1679,8640,True
1680,6453,True
1681,6317,True
1682,8640,True
1683,8640,True
1684,8640,True
1685,8640,True
1686,8640,True
1687,8640,True
1688,8640,True
1689,8640,True
1690,8640,True
1691,8478,True
1692,8170,True
1693,8640,True
1694,8640,True
1695,8640,True
1696,8640,True
1697,8640,True
1698,8640,True
1699,8640,True
1700,8640,True
1701,8640,True
1702,5532,True
1703,8109,True
1704,8640,True
1705,8640,True
1706,8640,True
1707,8640,True
