axis,error_code,start_time,end_time,duration_sec,log_entries
Upper/X east,7490.0,2025-09-13 01:15:12.391,2025-09-13 01:15:34.594,22.203,2
Upper/X east,7490.0,2025-09-13 05:41:58.013,2025-09-13 05:42:10.083,12.07,2
Upper/X east,7490.0,2025-09-13 07:31:16.509,2025-09-13 07:32:37.929,81.42,6
Upper/X east,7490.0,2025-09-13 11:52:08.920,2025-09-13 11:52:21.261,12.341,2
Upper/X east,7490.0,2025-09-13 11:55:38.106,2025-09-13 11:58:08.616,150.51,10
Upper/X east,7490.0,2025-09-13 17:18:44.784,2025-09-13 17:18:57.122,12.338,2
Upper/X east,7490.0,2025-09-14 18:30:47.539,2025-09-14 18:31:05.082,17.543,2
Upper/X east,7490.0,2025-09-16 03:39:03.402,2025-09-16 03:40:03.173,59.771,6
Upper/X east,7490.0,2025-09-16 05:19:37.243,2025-09-16 05:19:49.058,11.815,2
Upper/X east,7490.0,2025-09-23 18:06:19.691,2025-09-23 18:06:53.689,33.998,3
Upper/X east,7490.0,2025-09-26 06:10:32.862,2025-09-26 06:13:22.298,169.436,15
Upper/X east,7490.0,2025-09-26 07:54:25.760,2025-09-26 07:56:14.055,108.295,5
Upper/X east,7490.0,2025-09-30 09:37:46.992,2025-09-30 09:37:59.603,12.611,2
Upper/X east,7490.0,2025-09-30 09:49:09.680,2025-09-30 09:49:21.729,12.049,2
Upper/X east,7490.0,2025-09-30 10:32:56.968,2025-09-30 10:39:21.622,384.654,32
Upper/X east,7490.0,2025-09-30 12:03:06.523,2025-09-30 12:06:54.362,227.839,20
Upper/X east,7490.0,2025-09-30 12:07:54.397,2025-09-30 12:13:45.334,350.937,28
Upper/X east,7490.0,2025-09-30 12:33:00.941,2025-09-30 12:34:37.174,96.233,9
Upper/X east,7490.0,2025-09-30 12:35:48.186,2025-09-30 12:38:12.396,144.21,13
Upper/X east,7490.0,2025-09-30 13:29:01.120,2025-09-30 13:30:01.162,60.042,5
Upper/X east,7490.0,2025-09-30 15:04:51.181,2025-09-30 15:10:18.533,327.352,28
Upper/X east,7490.0,2025-09-30 16:16:11.174,2025-09-30 16:17:46.585,95.411,9
Upper/X east,7490.0,2025-09-30 16:19:46.394,2025-09-30 16:20:46.441,60.047,5
Upper/X east,7490.0,2025-09-30 17:38:24.208,2025-09-30 17:38:36.817,12.609,2
Upper/X east,7490.0,2025-09-30 18:01:47.373,2025-09-30 18:06:47.592,300.219,26
