date,total_episode_count,total_fault_duration_sec,unique_error_codes,motion_event_count,track_event_count,active_flag,rolling_7d_episode_count,rolling_7d_fault_duration,episode_trend_slope_14d,risk_episodes,risk_duration,risk_trend,combined_risk,health_index_raw,health_index,risk_level,health_score,critical_streak,yA,yB,yC,yD,score_A,score_B,score_CD,pA,pB,pC,pD,load_score_used
2017-05-29,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-30,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-05-31,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-06-01,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-06-02,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-06-03,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-06-04,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-06-05,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-06-06,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
2017-06-07,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Inactive,0.0,0,0.0,0.0,0.0,0.0,0.07210925887209883,0.0,0.1682549373682306,0.0050150451354062184,,0.0003178639542275906,0.019071837253655435,0.4807283924806589
